ID,y
1,76.7915817984
2,93.9925134584
3,78.50840714
4,75.4917262897
5,110.9282767217
8,92.0436592612
10,109.115118684
11,93.7095917535
12,117.5317847434
14,92.5853056992
15,117.413965576
16,104.9624004284
17,96.8767158417
19,95.2070302453
20,105.0218097493
21,96.0624144841
22,118.380468987
23,96.8869858534
26,94.8891591156
28,93.3370579522
29,96.8869858534
33,96.8869858534
35,94.4197161222
41,96.8600113739
42,94.4285581333
43,116.1821381966
45,102.1574985859
46,102.7624456553
51,94.0879089379
53,77.8750908181
55,112.7368289837
56,95.584971094
57,104.9906110913
58,95.2150742329
59,104.9506258636
63,111.2165728029
64,97.0394217046
65,104.3459180623
69,93.9429439382
71,97.4516731653
72,105.261253912
73,94.3654218082
76,104.545901054
77,103.7547716103
78,117.060956644
82,95.3063155221
83,104.3459180623
84,96.7225842943
85,103.6741937334
87,111.3051900056
88,96.8600113739
89,110.3531493255
91,94.0284803177
93,97.2213337003
94,105.9628363653
95,93.8066609314
96,113.4611989035
97,92.6830747534
98,114.579562959
99,94.9146887596
101,104.0593591039
103,110.3531493255
104,94.1619257547
105,112.0189331367
110,99.1470688304
111,110.3667767871
113,111.6366868788
114,93.179500925
115,107.3661853643
117,110.3531493255
120,95.3361897661
121,114.5164741787
122,92.6381166074
123,113.4502723633
126,112.9666789509
132,114.1987248235
135,108.7252798474
137,105.0856291267
138,96.2245480769
140,95.5938943806
142,108.9154597211
144,113.2040297429
148,91.982708571
149,111.0898589419
155,93.8501618593
156,112.2186962606
157,92.6830747534
162,113.8715900925
163,95.0871347949
167,93.3445506879
172,116.1821381966
179,112.5325434266
180,93.2937315957
181,111.762024816
182,98.102338085
183,110.3531493255
185,110.3531493255
187,112.877117418
188,95.2705080499
189,94.666519185
191,94.2323491302
192,110.6560604267
193,95.7272634907
194,113.5820427459
195,91.6798109806
196,111.0591276227
198,99.4380510374
199,113.0870185929
201,104.2731039584
204,96.3408112475
205,105.2738345197
206,97.1724582034
210,96.3118826746
211,104.0593591039
216,113.3043664485
219,117.560940064
220,94.1198105458
221,111.6122371452
226,111.762024816
227,94.6910990937
228,112.7403267288
230,112.0592198772
231,92.6830747534
235,118.4126363377
236,94.5378357321
238,112.2732947996
242,105.0862927451
243,94.0232029328
244,75.9563671544
245,113.430576035
247,110.9214709372
248,93.1879539518
249,94.9479909424
250,113.8173031422
251,94.5378357321
253,118.4126363377
254,93.9650933047
256,95.2243774661
257,93.0799381965
258,114.1834836358
259,94.9898529923
262,83.4122686373
266,95.4139814415
267,112.232437201
272,103.8263190346
273,110.3531493255
275,93.2908014054
276,115.4803824918
279,95.264452272
280,104.3459180623
283,93.2487878316
285,112.674136689
288,110.3531493255
289,95.0130466315
290,104.3082987545
291,97.43196617
292,111.3979024896
293,111.1739152488
296,93.410220552
297,113.2901514221
298,117.0438400388
299,95.2938007837
304,93.395533439
305,80.4734201971
306,94.3765179534
307,111.7931262421
311,111.5511883493
313,111.7220981992
314,93.187693624
316,95.7452940601
324,95.7304515915
327,96.0333226255
329,93.9724835796
330,113.6657111762
337,104.7879814781
338,98.4591337774
339,103.896980882
340,96.4225161914
343,92.9995381786
345,117.4574434459
346,92.6667569625
347,111.9670429611
349,109.7694989045
350,91.5887563152
352,112.1815271251
353,91.8392907311
354,76.6866931031
357,93.9890607991
358,111.7387446784
362,112.976260497
364,109.5450916563
365,106.1782218442
366,94.9936282952
367,113.8980117602
368,95.2170979619
370,78.8214666876
373,95.3905466338
377,94.1245769604
378,110.1567599893
382,104.5597044584
384,112.7569137531
390,93.5518638002
392,113.606339055
393,115.3679290185
395,98.516202147
396,107.9292816028
399,78.0499836022
406,111.7220981992
408,111.7220981992
409,92.8991859333
410,75.6966065233
412,112.587134186
413,91.3651800913
419,93.6379003647
420,112.3231971717
421,92.1445836426
430,97.0177934946
434,94.5905005347
436,95.2692195274
437,95.5877020994
438,92.6703995243
439,112.0466919982
440,95.9555254171
443,111.9615865009
446,95.4706855742
448,94.6973946209
452,95.6513853727
453,104.1074156936
457,103.8835129717
458,94.0651466429
459,114.4910816686
460,103.2718409783
462,105.6058059675
464,103.1264410052
465,117.5722505832
467,116.5113230417
471,111.1137393397
472,77.0200463369
473,94.0262742358
475,95.7281166297
480,96.6741751544
488,108.8811669974
490,111.7931262421
491,104.2196430029
492,78.5288259406
493,94.0398481398
497,91.1145539298
498,114.0880099697
499,94.3877907326
500,102.7837412554
501,94.0946552298
502,111.1512237633
506,77.5107548683
510,108.9878681613
511,91.0849196677
512,93.9198641503
516,92.6647600429
518,92.7259837409
519,112.1757536976
521,93.0170108029
522,110.8182103214
526,113.0912765614
529,96.0721115154
532,112.5569373758
533,96.0103108123
536,113.5116061335
537,95.0901894692
539,95.4368595427
540,104.0870704806
541,96.3705742762
543,94.686730314
546,113.7594179907
547,94.4684704978
548,78.4156807903
551,93.1891939722
552,102.8710756396
556,106.2821004227
557,96.8680207772
558,113.8980117602
559,98.0213364162
560,104.4721975386
562,105.298835401
566,96.9442933796
570,114.0880099697
571,95.5877020994
572,104.3636351104
573,95.2962592545
575,117.5722505832
576,112.5676594861
577,91.4288619934
579,91.4175241935
580,111.3841839334
581,114.2412626599
589,111.7931262421
591,103.9222585007
593,96.6529056267
